加纳塞地	加纳塞地
玻利维亚玻利维亚诺	玻利维亚玻利维亚诺
乌拉圭比索	乌拉圭比索
美元	美元
英镑	英镑
元	元
泰铢	泰铢
柬埔寨瑞尔	柬埔寨瑞尔
哥斯达黎加科隆	哥斯达黎加科隆
尼日利亚奈拉	尼日利亚奈拉
朝鲜园	朝鲜园
以色列谢克尔	以色列谢克尔
越南东	越南东
欧元	欧元
老挝基普	老挝基普
蒙古图格里克	蒙古图格里克
古巴比索	古巴比索
菲律宾比索	菲律宾比索
乌克兰格里夫纳	乌克兰格里夫纳
印度卢比	印度卢比
土耳其里拉	土耳其里拉
卢布	卢布
白俄罗斯卢布	白俄罗斯卢布
委内瑞拉玻利瓦尔	委内瑞拉玻利瓦尔
伯利兹元	伯利兹元
巴拿马巴尔博亚	巴拿马巴尔博亚
尼加拉瓜科尔多瓦	尼加拉瓜科尔多瓦
瑞士法郎	瑞士法郎
匈牙利福林	匈牙利福林
阿鲁巴盾	阿鲁巴盾
巴拉圭瓜拉尼	巴拉圭瓜拉尼
牙买加元	牙买加元
捷克克朗	捷克克朗
波斯尼亚和黑塞哥维那可兑换马克	波斯尼亚和黑塞哥维那可兑换马克
克罗地亚库纳	克罗地亚库纳
丹麦克朗	丹麦克朗
罗马尼亚列伊	罗马尼亚列伊
阿尔巴尼亚列克	阿尔巴尼亚列克
洪都拉斯伦皮拉	洪都拉斯伦皮拉
莫桑比克梅蒂卡尔	莫桑比克梅蒂卡尔
博茨瓦纳普拉	博茨瓦纳普拉
危地马拉格查尔	危地马拉格查尔
巴西雷亚尔	巴西雷亚尔
多米尼加共和国比索	多米尼加共和国比索
马来西亚令吉	马来西亚令吉
印尼盾	印尼盾
巴基斯坦卢比	巴基斯坦卢比
毛里求斯卢比	毛里求斯卢比
南非兰特	南非兰特
秘鲁索尔	秘鲁索尔
索马里先令	索马里先令
特立尼达和多巴哥元	特立尼达和多巴哥元
津巴布韦元	津巴布韦元
波兰兹罗提	波兰兹罗提
马其顿代纳尔	马其顿代纳尔
塞尔维亚第纳尔	塞尔维亚第纳尔
乌兹别克斯坦索姆	乌兹别克斯坦索姆
保加利亚列弗	保加利亚列弗
吉尔吉斯斯坦索姆	吉尔吉斯斯坦索姆
哈萨克斯坦腾格	哈萨克斯坦腾格
